Device: cpu | dtype: torch.float32 | flash: False | compile: False
Vocab size: 8,192
Model config: {'sequence_len': 256, 'vocab_size': 8192, 'n_layer': 4, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 256, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 2,097,152
  value_embeds            : 4,194,304
  lm_head                 : 2,097,152
  transformer_matrices    : 3,145,984
  scalars                 : 8
  total                   : 11,534,600
Estimated FLOPs per token: 3.342490e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 120s
Gradient accumulation steps: 1
step 00000 (0.0%) | loss: 9.012250 | lrm: 1.00 | dt: 1584ms | tok/sec: 1,292 | mfu: 28.8% | epoch: 1 | remaining: 120s    
step 00001 (0.0%) | loss: 8.972597 | lrm: 1.00 | dt: 1303ms | tok/sec: 1,572 | mfu: 35.0% | epoch: 1 | remaining: 120s    
step 00002 (0.0%) | loss: 8.834017 | lrm: 1.00 | dt: 1667ms | tok/sec: 1,228 | mfu: 27.4% | epoch: 1 | remaining: 120s    
step 00003 (0.0%) | loss: 8.609586 | lrm: 1.00 | dt: 1105ms | tok/sec: 1,853 | mfu: 41.3% | epoch: 1 | remaining: 119s    
step 00004 (0.9%) | loss: 8.458106 | lrm: 1.00 | dt: 1333ms | tok/sec: 1,536 | mfu: 34.2% | epoch: 1 | remaining: 118s    
step 00005 (2.0%) | loss: 8.250811 | lrm: 1.00 | dt: 1147ms | tok/sec: 1,785 | mfu: 39.8% | epoch: 1 | remaining: 116s    
step 00006 (3.0%) | loss: 8.082792 | lrm: 1.00 | dt: 1368ms | tok/sec: 1,496 | mfu: 33.4% | epoch: 1 | remaining: 115s    
step 00007 (4.1%) | loss: 7.972515 | lrm: 1.00 | dt: 988ms | tok/sec: 2,073 | mfu: 46.2% | epoch: 1 | remaining: 114s    
step 00008 (5.0%) | loss: 7.858514 | lrm: 1.00 | dt: 1082ms | tok/sec: 1,893 | mfu: 42.2% | epoch: 1 | remaining: 113s    
step 00009 (5.9%) | loss: 7.760660 | lrm: 1.00 | dt: 1326ms | tok/sec: 1,544 | mfu: 34.4% | epoch: 1 | remaining: 112s    
step 00010 (7.0%) | loss: 7.694594 | lrm: 1.00 | dt: 1476ms | tok/sec: 1,387 | mfu: 30.9% | epoch: 1 | remaining: 110s    
